name,latitude,longitude,xmin,xmax,coordinates
Arkansas Nuclear One,35.31054010,-93.23084454,34.81054010,35.81054010,"[35.3105401, -93.23084454]"
Beaver Valley Unit 1,40.62179325,-80.43352940,40.12179325,41.12179325,"[40.62179325, -80.4335294]"
Beaver Valley Unit 2,40.62318801,-80.43233415,40.12318801,41.12318801,"[40.62318801, -80.43233415]"
Braidwood Generation Station Unit 1,41.24313176,-88.22905150,40.74313176,41.74313176,"[41.24313176, -88.2290515]"
Braidwood Generation Station Unit 2,41.24391079,-88.22904650,40.74391079,41.74391079,"[41.24391079, -88.2290465]"
Browns Ferry Unit 1,34.70387739,-87.11937533,34.20387739,35.20387739,"[34.70387739, -87.11937533]"
Browns Ferry Unit 2,34.70360412,-87.11894564,34.20360412,35.20360412,"[34.70360412, -87.11894564]"
Browns Ferry Unit 3,34.70335417,-87.11855242,34.20335417,35.20335417,"[34.70335417, -87.11855242]"
Brunswick Nuclear Unit 1,33.95788952,-78.01009688,33.45788952,34.45788952,"[33.95788952, -78.01009688]"
Brunswick Nuclear Unit 2,33.95866910,-78.00914620,33.45866910,34.45866910,"[33.9586691, -78.0091462]"
Byron Unit 1,42.07395802,-89.28342275,41.57395802,42.57395802,"[42.07395802, -89.28342275]"
Byron Unit 2,42.07474928,-89.28338495,41.57474928,42.57474928,"[42.07474928, -89.28338495]"
Callaway,38.76136051,-91.78103515,38.26136051,39.26136051,"[38.76136051, -91.78103515]"
Calvert Cliffs Unit 1,38.43466731,-76.44243007,37.93466731,38.93466731,"[38.43466731, -76.44243007]"
Calvert Cliffs Unit 2,38.43415543,-76.44176239,37.93415543,38.93415543,"[38.43415543, -76.44176239]"
Catawba Unit 1,35.05120748,-81.06942789,34.55120748,35.55120748,"[35.05120748, -81.06942789]"
Catawba Unit 2,35.05208864,-81.06942408,34.55208864,35.55208864,"[35.05208864, -81.06942408]"
Clinton Power Station,40.17233501,-88.83512219,39.67233501,40.67233501,"[40.17233501, -88.83512219]"
Columbia Generating Station,46.47114753,-119.33401200,45.97114753,46.97114753,"[46.47114753, -119.334012]"
Comanche Peak Unit 1,32.29792273,-97.78509423,31.79792273,32.79792273,"[32.29792273, -97.78509423]"
Comanche Peak Unit 2,32.29872632,-97.78501873,31.79872632,32.79872632,"[32.29872632, -97.78501873]"
Cooper Nuclear Station,40.36201261,-95.64138170,39.86201261,40.86201261,"[40.36201261, -95.6413817]"
D.C. Cook Unit 1,41.97531348,-86.56527336,41.47531348,42.47531348,"[41.97531348, -86.56527336]"
D.C. Cook Unit 2,41.97593495,-86.56503501,41.47593495,42.47593495,"[41.97593495, -86.56503501]"
Davis-Besse Nuclear Power Station,41.59692513,-83.08669625,41.09692513,42.09692513,"[41.59692513, -83.08669625]"
Diablo Canyon Unit 1,35.21220496,-120.85498490,34.71220496,35.71220496,"[35.21220496, -120.8549849]"
Diablo Canyon Unit 2,35.21140596,-120.85453490,34.71140596,35.71140596,"[35.21140596, -120.8545349]"
Dresden Generating Station,41.38989013,-88.26786752,40.88989013,41.88989013,"[41.38989013, -88.26786752]"
Farley Unit 1,31.22274214,-85.11179885,30.72274214,31.72274214,"[31.22274214, -85.11179885]"
Farley Unit 2,31.22351777,-85.11178287,30.72351777,31.72351777,"[31.22351777, -85.11178287]"
Fermi 2,41.96291119,-83.25789103,41.46291119,42.46291119,"[41.96291119, -83.25789103]"
